Comment,Designator,Footprint,LCSC
Battery,BT1,BH:BatteryHolder_Keystone_2479_3xAAA,1
100n,"C1,C3,C5",Capacitor_SMD:C_0402_1005Metric,1
100u,"C2,C8,C11",Capacitor_THT:CP_Radial_D5.0mm_P2.50mm,1
2u2,"C4,C6",Capacitor_SMD:C_0402_1005Metric,1
10n,"C7,C9",Capacitor_SMD:C_0402_1005Metric,1
1n5,"C10,C12",Capacitor_SMD:C_0402_1005Metric,1
1N4148DO35-7,"D1,D2,D3,D4,D5,D6,D7",Diode_SMD:D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,1
AD8599R,"IC1,IC2",Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,1
PINHD-1X4,"JP1,JP2",Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,1
LEDSML0603,"LED1,LED2,LED3",Diode_SMD:D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,1
LSP10,"LSP1,LSP2,LSP3,LSP4,LSP5",Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,1
BCF29SMD,"Q1,Q2,Q3",Package_TO_SOT_SMD:SOT-23W_Handsoldering,1
220,"R1,R12,R22",Resistor_SMD:R_0402_1005Metric,1
22k,"R2,R10,R11,R13,R23",Resistor_SMD:R_0402_1005Metric,1
47k,"R3,R5,R7,R8,R9,R14,R16,R18,R20,R21,R26,R28,R29",Resistor_SMD:R_0402_1005Metric,1
50k,"R4,R15,R17,R25",Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,1
1k,"R6,R19,R24,R27",Resistor_SMD:R_0402_1005Metric,1
