Designator,Mid X,Mid Y,Layer,Rotation
BT1,165.1,-99.06,B,180.0
C1,128.016,-108.204,T,90.0
C10,140.208,-117.348,T,0.0
C11,148.400888,-109.474,T,0.0
C12,140.208,-114.808,T,180.0
C2,123.444,-100.838,T,0.0
C3,129.286,-108.204,T,270.0
C4,116.586,-115.57,T,180.0
C5,140.462,-96.0,T,270.0
C6,116.586,-107.95,T,0.0
C7,134.62,-110.744,T,0.0
C8,148.400888,-115.57,T,0.0
C9,134.62,-112.014,T,180.0
D1,142.24,-99.822,T,0.0
D2,129.54,-100.838,T,180.0
D3,129.54,-102.87,T,0.0
D4,155.702,-109.474,T,270.0
D5,154.94,-115.57,T,0.0
D6,153.924,-109.474,T,270.0
D7,158.496,-109.474,T,0.0
IC1,124.079,-111.76,T,90.0
IC2,141.159,-110.109,T,0.0
JP1,113.0,-107.95,T,0.0
JP2,128.778,-95.885,T,90.0
LED1,143.764,-96.0,T,90.0
LED2,146.812,-96.0,T,90.0
LED3,149.606,-96.0,T,90.0
LSP1,171.196,-98.3234,T,0.0
LSP2,118.618,-100.838,T,0.0
LSP3,171.196,-109.22,T,0.0
LSP4,171.196,-104.14,T,0.0
LSP5,171.196,-114.3,T,0.0
Q1,136.906,-101.788,T,0.0
Q2,156.652,-101.346,T,90.0
Q3,152.72,-101.346,T,90.0
R1,141.478,-101.788,T,180.0
R10,119.634,-112.522,T,0.0
R11,119.634,-111.252,T,0.0
R12,147.828,-99.568,T,270.0
R13,132.334,-110.744,T,180.0
R14,136.652,-107.95,T,270.0
R15,162.6,-132.725,T,90.0
R16,126.492,-116.332,T,180.0
R17,115.5,-132.725,T,90.0
R18,135.382,-107.95,T,270.0
R19,155.702,-106.172,T,90.0
R2,128.016,-110.462,T,270.0
R20,134.62,-113.284,T,180.0
R21,140.208,-113.538,T,180.0
R22,150.0,-100.0,T,270.0
R23,137.414,-117.348,T,180.0
R24,143.51,-105.664,T,270.0
R25,147.36,-132.725,T,90.0
R26,146.558,-105.664,T,270.0
R27,153.924,-106.172,T,90.0
R28,140.208,-116.078,T,180.0
R29,142.24,-105.664,T,90.0
R3,128.778,-105.918,T,180.0
R4,131.612,-132.725,T,90.0
R5,131.572,-105.918,T,0.0
R6,132.588,-100.838,T,0.0
R7,130.556,-108.204,T,270.0
R8,128.778,-104.394,T,0.0
R9,120.65,-109.22,T,90.0
