vsb	uth
0.000000000000000e+00	3.790890e-01
1.000000000000000e-02	3.910030e-01
2.000000000000000e-02	3.939440e-01
3.000000000000000e-02	3.968700e-01
4.000000000000000e-02	3.997820e-01
5.000000000000000e-02	4.026800e-01
6.000000000000000e-02	4.055650e-01
7.000000000000001e-02	4.084370e-01
8.000000000000000e-02	4.112960e-01
9.000000000000000e-02	4.141430e-01
1.000000000000000e-01	4.169770e-01
1.100000000000000e-01	4.197960e-01
1.200000000000000e-01	4.226030e-01
1.300000000000000e-01	4.253980e-01
1.400000000000000e-01	4.281830e-01
1.500000000000000e-01	4.309560e-01
1.600000000000000e-01	4.337130e-01
1.700000000000000e-01	4.364610e-01
1.800000000000000e-01	4.391980e-01
1.900000000000000e-01	4.419240e-01
2.000000000000000e-01	4.446360e-01
2.100000000000000e-01	4.473390e-01
2.200000000000000e-01	4.500330e-01
2.300000000000000e-01	4.527120e-01
2.400000000000000e-01	4.553820e-01
2.500000000000000e-01	4.580430e-01
2.600000000000000e-01	4.606900e-01
2.700000000000000e-01	4.633290e-01
2.800000000000000e-01	4.659600e-01
2.900000000000000e-01	4.685760e-01
3.000000000000000e-01	4.711850e-01
3.100000000000000e-01	4.737840e-01
3.200000000000000e-01	4.763720e-01
3.300000000000000e-01	4.789530e-01
3.400000000000000e-01	4.815200e-01
3.500000000000000e-01	4.840820e-01
3.600000000000000e-01	4.866310e-01
3.700000000000000e-01	4.891740e-01
3.800000000000000e-01	4.917060e-01
3.900000000000000e-01	4.942300e-01
4.000000000000000e-01	4.967440e-01
4.100000000000000e-01	4.992500e-01
4.200000000000000e-01	5.017470e-01
4.300000000000000e-01	5.042350e-01
4.400000000000000e-01	5.067150e-01
4.500000000000000e-01	5.091870e-01
4.600000000000000e-01	5.116490e-01
4.700000000000000e-01	5.141050e-01
4.800000000000000e-01	5.165500e-01
4.900000000000000e-01	5.189910e-01
5.000000000000000e-01	5.214180e-01
5.100000000000000e-01	5.238420e-01
5.200000000000000e-01	5.262560e-01
5.300000000000000e-01	5.286620e-01
5.400000000000000e-01	5.310630e-01
5.500000000000000e-01	5.334520e-01
5.600000000000001e-01	5.358370e-01
5.700000000000000e-01	5.382120e-01
5.800000000000000e-01	5.405800e-01
5.900000000000000e-01	5.429440e-01
6.000000000000000e-01	5.452960e-01
6.100000000000000e-01	5.476420e-01
6.200000000000000e-01	5.499840e-01
6.300000000000000e-01	5.523150e-01
6.400000000000000e-01	5.546400e-01
6.500000000000000e-01	5.569610e-01
6.600000000000000e-01	5.592700e-01
6.700000000000000e-01	5.615750e-01
6.800000000000000e-01	5.638740e-01
6.899999999999999e-01	5.661650e-01
7.000000000000000e-01	5.684480e-01
7.100000000000000e-01	5.707270e-01
7.200000000000000e-01	5.730010e-01
7.300000000000000e-01	5.752630e-01
7.400000000000000e-01	5.775210e-01
7.500000000000000e-01	5.797740e-01
7.600000000000000e-01	5.820220e-01
7.700000000000000e-01	5.842600e-01
7.800000000000000e-01	5.864920e-01
7.900000000000000e-01	5.887200e-01
8.000000000000000e-01	5.909430e-01
8.100000000000001e-01	5.931570e-01
8.200000000000010e-01	5.953650e-01
8.300000000000010e-01	5.975680e-01
8.400000000000010e-01	5.997660e-01
8.500000000000010e-01	6.019590e-01
8.600000000000010e-01	6.041430e-01
8.700000000000010e-01	6.063220e-01
8.800000000000010e-01	6.084960e-01
8.900000000000010e-01	6.106640e-01
9.000000000000010e-01	6.128280e-01
9.100000000000010e-01	6.149870e-01
9.200000000000010e-01	6.171370e-01
9.300000000000010e-01	6.192820e-01
9.400000000000009e-01	6.214220e-01
9.500000000000010e-01	6.235580e-01
9.600000000000010e-01	6.256880e-01
9.700000000000010e-01	6.278130e-01
9.800000000000010e-01	6.299340e-01
9.900000000000010e-01	6.320480e-01
1.000000000000000e+00	6.341560e-01
