vgs	Is(M2)
0.000000000000000e+00	1.141255e-11
1.000000000000000e-03	1.171648e-11
2.000000000000000e-03	1.202849e-11
3.000000000000000e-03	1.234879e-11
4.000000000000000e-03	1.267762e-11
5.000000000000000e-03	1.301518e-11
6.000000000000000e-03	1.336171e-11
7.000000000000000e-03	1.371746e-11
8.000000000000000e-03	1.408265e-11
9.000000000000001e-03	1.445756e-11
1.000000000000000e-02	1.484242e-11
1.100000000000000e-02	1.523751e-11
1.200000000000000e-02	1.564310e-11
1.300000000000000e-02	1.605947e-11
1.400000000000001e-02	1.648689e-11
1.500000000000001e-02	1.692567e-11
1.600000000000001e-02	1.737610e-11
1.700000000000001e-02	1.783850e-11
1.800000000000001e-02	1.831317e-11
1.900000000000001e-02	1.880045e-11
2.000000000000001e-02	1.930067e-11
2.100000000000001e-02	1.981417e-11
2.200000000000001e-02	2.034130e-11
2.300000000000001e-02	2.088243e-11
2.400000000000001e-02	2.143792e-11
2.500000000000002e-02	2.200815e-11
2.600000000000002e-02	2.259351e-11
2.700000000000002e-02	2.319441e-11
2.800000000000002e-02	2.381126e-11
2.900000000000002e-02	2.444447e-11
3.000000000000002e-02	2.509447e-11
3.100000000000002e-02	2.576172e-11
3.200000000000002e-02	2.644667e-11
3.300000000000002e-02	2.714979e-11
3.400000000000002e-02	2.787155e-11
3.500000000000002e-02	2.861245e-11
3.600000000000003e-02	2.937300e-11
3.700000000000003e-02	3.015371e-11
3.800000000000003e-02	3.095511e-11
3.900000000000003e-02	3.177776e-11
4.000000000000003e-02	3.262221e-11
4.100000000000003e-02	3.348904e-11
4.200000000000003e-02	3.437884e-11
4.300000000000003e-02	3.529221e-11
4.400000000000003e-02	3.622978e-11
4.500000000000003e-02	3.719219e-11
4.600000000000003e-02	3.818008e-11
4.700000000000003e-02	3.919414e-11
4.800000000000004e-02	4.023505e-11
4.900000000000004e-02	4.130353e-11
5.000000000000004e-02	4.240028e-11
5.100000000000004e-02	4.352608e-11
5.200000000000004e-02	4.468166e-11
5.300000000000004e-02	4.586783e-11
5.400000000000004e-02	4.708539e-11
5.500000000000004e-02	4.833517e-11
5.600000000000004e-02	4.961800e-11
5.700000000000004e-02	5.093477e-11
5.800000000000004e-02	5.228636e-11
5.900000000000005e-02	5.367369e-11
6.000000000000005e-02	5.509771e-11
6.100000000000005e-02	5.655937e-11
6.200000000000005e-02	5.805967e-11
6.300000000000004e-02	5.959962e-11
6.400000000000004e-02	6.118028e-11
6.500000000000004e-02	6.280269e-11
6.600000000000004e-02	6.446796e-11
6.700000000000005e-02	6.617722e-11
6.800000000000005e-02	6.793163e-11
6.900000000000005e-02	6.973237e-11
7.000000000000005e-02	7.158064e-11
7.100000000000005e-02	7.347771e-11
7.200000000000005e-02	7.542486e-11
7.300000000000005e-02	7.742339e-11
7.400000000000005e-02	7.947466e-11
7.500000000000005e-02	8.158004e-11
7.600000000000005e-02	8.374096e-11
7.700000000000005e-02	8.595887e-11
7.800000000000006e-02	8.823527e-11
7.900000000000006e-02	9.057168e-11
8.000000000000006e-02	9.296968e-11
8.100000000000006e-02	9.543088e-11
8.200000000000006e-02	9.795694e-11
8.300000000000006e-02	1.005495e-10
8.400000000000006e-02	1.032105e-10
8.500000000000006e-02	1.059414e-10
8.600000000000006e-02	1.087443e-10
8.700000000000006e-02	1.116210e-10
8.800000000000006e-02	1.145734e-10
8.900000000000007e-02	1.176036e-10
9.000000000000007e-02	1.207134e-10
9.100000000000007e-02	1.239051e-10
9.200000000000007e-02	1.271807e-10
9.300000000000007e-02	1.305424e-10
9.400000000000007e-02	1.339925e-10
9.500000000000007e-02	1.375333e-10
9.600000000000007e-02	1.411672e-10
9.700000000000007e-02	1.448966e-10
9.800000000000007e-02	1.487239e-10
9.900000000000007e-02	1.526517e-10
1.000000000000001e-01	1.566827e-10
1.010000000000001e-01	1.608195e-10
1.020000000000001e-01	1.650649e-10
1.030000000000001e-01	1.694217e-10
1.040000000000001e-01	1.738927e-10
1.050000000000001e-01	1.784811e-10
1.060000000000001e-01	1.831898e-10
1.070000000000001e-01	1.880219e-10
1.080000000000001e-01	1.929806e-10
1.090000000000001e-01	1.980693e-10
1.100000000000001e-01	2.032914e-10
1.110000000000001e-01	2.086501e-10
1.120000000000001e-01	2.141492e-10
1.130000000000001e-01	2.197923e-10
1.140000000000001e-01	2.255830e-10
1.150000000000001e-01	2.315253e-10
1.160000000000001e-01	2.376229e-10
1.170000000000001e-01	2.438801e-10
1.180000000000001e-01	2.503008e-10
1.190000000000001e-01	2.568894e-10
1.200000000000001e-01	2.636501e-10
1.210000000000001e-01	2.705874e-10
1.220000000000001e-01	2.777058e-10
1.230000000000001e-01	2.850101e-10
1.240000000000001e-01	2.925051e-10
1.250000000000001e-01	3.001956e-10
1.260000000000001e-01	3.080867e-10
1.270000000000001e-01	3.161836e-10
1.280000000000001e-01	3.244915e-10
1.290000000000001e-01	3.330160e-10
1.300000000000001e-01	3.417626e-10
1.310000000000001e-01	3.507369e-10
1.320000000000001e-01	3.599449e-10
1.330000000000001e-01	3.693926e-10
1.340000000000001e-01	3.790862e-10
1.350000000000001e-01	3.890318e-10
1.360000000000001e-01	3.992361e-10
1.370000000000001e-01	4.097057e-10
1.380000000000001e-01	4.204473e-10
