vsb	uth
0.000000000000000e+00	4.354970e-01
1.000000000000000e-02	4.385930e-01
2.000000000000000e-02	4.416760e-01
3.000000000000000e-02	4.447460e-01
4.000000000000000e-02	4.478020e-01
5.000000000000000e-02	4.508460e-01
6.000000000000000e-02	4.538770e-01
7.000000000000001e-02	4.568960e-01
8.000000000000000e-02	4.599020e-01
9.000000000000000e-02	4.628960e-01
1.000000000000000e-01	4.658770e-01
1.100000000000000e-01	4.688470e-01
1.200000000000000e-01	4.718050e-01
1.300000000000000e-01	4.747520e-01
1.400000000000000e-01	4.776870e-01
1.500000000000000e-01	4.806110e-01
1.600000000000000e-01	4.835240e-01
1.700000000000000e-01	4.864260e-01
1.800000000000000e-01	4.893170e-01
1.900000000000000e-01	4.921980e-01
2.000000000000000e-01	4.950690e-01
2.100000000000000e-01	4.979280e-01
2.200000000000000e-01	5.007760e-01
2.300000000000000e-01	5.036140e-01
2.400000000000000e-01	5.064430e-01
2.500000000000000e-01	5.092620e-01
2.600000000000000e-01	5.120720e-01
2.700000000000000e-01	5.148700e-01
2.800000000000000e-01	5.176590e-01
2.900000000000000e-01	5.204380e-01
3.000000000000000e-01	5.232090e-01
3.100000000000000e-01	5.259710e-01
3.200000000000000e-01	5.287220e-01
3.300000000000000e-01	5.314640e-01
3.400000000000000e-01	5.341980e-01
3.500000000000000e-01	5.369240e-01
3.600000000000000e-01	5.396380e-01
3.700000000000000e-01	5.423450e-01
3.800000000000000e-01	5.450450e-01
3.900000000000000e-01	5.477340e-01
4.000000000000000e-01	5.504150e-01
4.100000000000000e-01	5.530890e-01
4.200000000000000e-01	5.557530e-01
4.300000000000000e-01	5.584090e-01
4.400000000000000e-01	5.610590e-01
4.500000000000000e-01	5.636980e-01
4.600000000000000e-01	5.663300e-01
4.700000000000000e-01	5.689560e-01
4.800000000000000e-01	5.715710e-01
4.900000000000000e-01	5.741810e-01
5.000000000000000e-01	5.767820e-01
5.100000000000000e-01	5.793750e-01
5.200000000000000e-01	5.819630e-01
5.300000000000000e-01	5.845400e-01
5.400000000000000e-01	5.871130e-01
5.500000000000000e-01	5.896760e-01
5.600000000000001e-01	5.922330e-01
5.700000000000000e-01	5.947830e-01
5.800000000000000e-01	5.973250e-01
5.900000000000000e-01	5.998620e-01
6.000000000000000e-01	6.023890e-01
6.100000000000000e-01	6.049120e-01
6.200000000000000e-01	6.074260e-01
6.300000000000000e-01	6.099360e-01
6.400000000000000e-01	6.124360e-01
6.500000000000000e-01	6.149320e-01
6.600000000000000e-01	6.174190e-01
6.700000000000000e-01	6.199020e-01
6.800000000000000e-01	6.223760e-01
6.899999999999999e-01	6.248450e-01
7.000000000000000e-01	6.273070e-01
7.100000000000000e-01	6.297640e-01
7.200000000000000e-01	6.322140e-01
7.300000000000000e-01	6.346570e-01
7.400000000000000e-01	6.370960e-01
7.500000000000000e-01	6.395260e-01
7.600000000000000e-01	6.419530e-01
7.700000000000000e-01	6.443710e-01
7.800000000000000e-01	6.467850e-01
7.900000000000000e-01	6.491920e-01
8.000000000000000e-01	6.515930e-01
8.100000000000001e-01	6.539910e-01
8.200000000000010e-01	6.563800e-01
8.300000000000010e-01	6.587650e-01
8.400000000000010e-01	6.611440e-01
8.500000000000010e-01	6.635160e-01
8.600000000000010e-01	6.658850e-01
8.700000000000010e-01	6.682470e-01
8.800000000000010e-01	6.706030e-01
8.900000000000010e-01	6.729560e-01
9.000000000000010e-01	6.753000e-01
9.100000000000010e-01	6.776410e-01
9.200000000000010e-01	6.799780e-01
9.300000000000010e-01	6.823060e-01
9.400000000000009e-01	6.846310e-01
9.500000000000010e-01	6.869520e-01
9.600000000000010e-01	6.892650e-01
9.700000000000010e-01	6.915740e-01
9.800000000000010e-01	6.938790e-01
9.900000000000010e-01	6.961780e-01
1.000000000000000e+00	6.984710e-01
