L,lambda
0.1,0.623546
0.12,0.52581
0.14,0.463461
0.16,0.419999
0.18,0.387327
0.2,0.361362
0.22,0.339888
0.24,0.321611
0.26,0.305725
0.28,0.291699
0.3,0.279167
0.32,0.267864
0.34,0.257594
0.36,0.248205
0.38,0.23958
0.4,0.231621
0.42,0.22425
0.44,0.217402
0.46,0.21102
0.48,0.205058
0.5,0.199475
0.52,0.194235
0.54,0.189307
0.56,0.184664
0.58,0.180282
0.6,0.176139
0.62,0.172216
0.64,0.168497
0.66,0.164965
0.68,0.161607
0.7,0.15841
0.72,0.155363
0.74,0.152455
0.76,0.149678
0.78,0.147022
0.8,0.14448
0.82,0.142044
0.84,0.139709
0.86,0.137467
0.88,0.135313
0.9,0.133243
0.92,0.131251
0.94,0.129333
0.96,0.127484
0.98,0.125702
1,0.123983
1.02,0.122322
1.04,0.120718
1.06,0.119168
1.08,0.117668
1.1,0.116216
1.12,0.11481
1.14,0.113448
1.16,0.112128
1.18,0.110847
1.2,0.109605
1.22,0.108398
1.24,0.107227
1.26,0.106088
1.28,0.104981
1.3,0.103905
1.32,0.102858
1.34,0.101839
1.36,0.100846
1.38,0.0998793
1.4,0.0989373
1.42,0.0980191
1.44,0.0971238
1.46,0.0962503
1.48,0.095398
1.5,0.0945662
1.52,0.093754
1.54,0.0929607
1.56,0.0921856
1.58,0.0914282
1.6,0.0906876
1.62,0.0899635
1.64,0.0892552
1.66,0.0885623
1.68,0.087884
1.7,0.0872202
1.72,0.0865701
1.74,0.0859334
1.76,0.0853098
1.78,0.0846986
1.8,0.0840996
1.82,0.0835125
1.84,0.0829367
1.86,0.082372
1.88,0.081818
1.9,0.0812745
1.92,0.0807411
1.94,0.0802175
1.96,0.0797035
1.98,0.0791986
2,0.0787029
2.02,0.0782159
2.04,0.0777373
2.06,0.0772671
2.08,0.0768049
2.1,0.0763506
2.12,0.0759038
2.14,0.0754645
2.16,0.0750325
2.18,0.0746074
2.2,0.0741891
2.22,0.0737777
2.24,0.0733727
2.26,0.072974
2.28,0.0725815
2.3,0.0721952
2.32,0.0718146
2.34,0.0714399
2.36,0.0710706
2.38,0.0707069
2.4,0.0703486
2.42,0.0699954
2.44,0.0696473
2.46,0.0693043
2.48,0.0689661
2.5,0.0686325
2.52,0.0683038
2.54,0.0679795
2.56,0.0676596
2.58,0.0673441
2.6,0.0670328
2.62,0.0667258
2.64,0.0664227
2.66,0.0661236
2.68,0.0658285
2.7,0.0655372
2.72,0.0652495
2.74,0.0649655
2.76,0.0646852
2.78,0.0644082
2.8,0.0641348
2.82,0.0638647
2.84,0.0635978
2.86,0.0633342
2.88,0.0630739
2.9,0.0628165
2.92,0.0625622
2.94,0.062311
2.96,0.0620625
2.98,0.0618171
3,0.0615744
3.02,0.0613345
3.04,0.0610973
3.06,0.0608628
3.08,0.0606307
3.1,0.0604015
3.12,0.0601745
3.14,0.0599502
3.16,0.0597281
3.18,0.0595086
3.2,0.0592913
3.22,0.0590763
3.24,0.0588636
3.26,0.0586532
3.28,0.0584449
3.3,0.0582387
3.32,0.0580346
3.34,0.0578327
3.36,0.0576326
3.38,0.0574347
3.4,0.0572386
3.42,0.0570446
3.44,0.0568524
3.46,0.0566621
3.48,0.0564737
3.5,0.0562871
3.52,0.0561022
3.54,0.055919
3.56,0.0557375
3.58,0.0555579
3.6,0.0553799
3.62,0.0552034
3.64,0.0550286
3.66,0.0548555
3.68,0.0546838
3.7,0.0545137
3.72,0.0543452
3.74,0.0541781
3.76,0.0540124
3.78,0.0538482
3.8,0.0536855
3.82,0.0535242
3.84,0.0533643
3.86,0.0532058
3.88,0.0530485
3.9,0.0528925
3.92,0.052738
3.94,0.0525847
3.96,0.0524326
3.98,0.0522819
4,0.0521323
4.02,0.051984
4.04,0.0518368
4.06,0.0516909
4.08,0.051546
4.1,0.0514024
4.12,0.05126
4.14,0.0511186
4.16,0.0509782
4.18,0.0508391
4.2,0.050701
4.22,0.0505639
4.24,0.0504278
4.26,0.0502929
4.28,0.0501589
4.3,0.0500258
4.32,0.0498939
4.34,0.0497629
4.36,0.0496328
4.38,0.0495037
4.4,0.0493756
4.42,0.0492483
4.44,0.049122
4.46,0.0489966
4.48,0.0488721
4.5,0.0487485
4.52,0.0486257
4.54,0.0485037
4.56,0.0483827
4.58,0.0482625
4.6,0.0481432
4.62,0.0480246
4.64,0.0479068
4.66,0.0477899
4.68,0.0476737
4.7,0.0475583
4.72,0.0474437
4.74,0.0473298
4.76,0.0472166
4.78,0.0471043
4.8,0.0469926
4.82,0.0468817
4.84,0.0467715
4.86,0.0466621
4.88,0.0465533
4.9,0.0464452
4.92,0.0463377
4.94,0.046231
4.96,0.0461248
4.98,0.0460195
5,0.0459147
5.02,0.0458107
5.04,0.0457071
5.06,0.0456043
5.08,0.0455021
5.1,0.0454005
5.12,0.0452996
5.14,0.0451991
5.16,0.0450994
5.18,0.0450002
5.2,0.0449016
5.22,0.0448036
5.24,0.0447061
5.26,0.0446092
5.28,0.0445129
5.3,0.0444171
5.32,0.0443219
5.34,0.0442272
5.36,0.0441332
5.38,0.0440395
5.4,0.0439463
5.42,0.0438538
