step	1/(id0*rout)
     1	0.568631
     2	0.502045
     3	0.451423
     4	0.413511
     5	0.383741
     6	0.359405
     7	0.338892
     8	0.321203
     9	0.305685
    10	0.291892
    11	0.279507
    12	0.268297
    13	0.258083
    14	0.248727
    15	0.240117
    16	0.232163
    17	0.224789
    18	0.217932
    19	0.211539
    20	0.205564
    21	0.199966
    22	0.19471
    23	0.189766
    24	0.185107
    25	0.18071
    26	0.176552
    27	0.172614
    28	0.16888
    29	0.165335
    30	0.161963
    31	0.158754
    32	0.155694
    33	0.152775
    34	0.149987
    35	0.14732
    36	0.144768
    37	0.142323
    38	0.139978
    39	0.137727
    40	0.135566
    41	0.133487
    42	0.131487
    43	0.129562
    44	0.127707
    45	0.125918
    46	0.124192
    47	0.122525
    48	0.120915
    49	0.119359
    50	0.117854
    51	0.116397
    52	0.114986
    53	0.113619
    54	0.112294
    55	0.111009
    56	0.109762
    57	0.108552
    58	0.107376
    59	0.106234
    60	0.105123
    61	0.104044
    62	0.102993
    63	0.10197
    64	0.100975
    65	0.100005
    66	0.0990602
    67	0.0981392
    68	0.0972411
    69	0.096365
    70	0.0955101
    71	0.0946759
    72	0.0938611
    73	0.0930656
    74	0.0922882
    75	0.0915285
    76	0.090786
    77	0.0900598
    78	0.0893495
    79	0.0886546
    80	0.0879746
    81	0.087309
    82	0.0866571
    83	0.0860188
    84	0.0853933
    85	0.0847807
    86	0.0841801
    87	0.0835914
    88	0.0830141
    89	0.0824479
    90	0.0818926
    91	0.0813478
    92	0.080813
    93	0.0802881
    94	0.0797729
    95	0.0792668
    96	0.0787698
    97	0.0782818
    98	0.077802
    99	0.0773306
   100	0.0768674
   101	0.0764121
   102	0.0759643
   103	0.075524
   104	0.075091
   105	0.0746649
   106	0.0742459
   107	0.0738333
   108	0.0734275
   109	0.073028
   110	0.0726348
   111	0.0722475
   112	0.0718661
   113	0.0714905
   114	0.0711206
   115	0.0707561
   116	0.070397
   117	0.0700432
   118	0.0696944
   119	0.0693506
   120	0.0690117
   121	0.0686775
   122	0.0683481
   123	0.0680233
   124	0.0677028
   125	0.0673867
   126	0.0670749
   127	0.0667671
   128	0.0664636
   129	0.0661639
   130	0.0658682
   131	0.0655763
   132	0.0652882
   133	0.0650036
   134	0.0647228
   135	0.0644454
   136	0.0641713
   137	0.0639008
   138	0.0636336
   139	0.0633695
   140	0.0631086
   141	0.0628509
   142	0.0625961
   143	0.0623444
   144	0.0620956
   145	0.0618497
   146	0.0616067
   147	0.0613663
   148	0.0611288
   149	0.0608938
   150	0.0606615
   151	0.0604318
   152	0.0602046
   153	0.0599798
   154	0.0597575
   155	0.0595375
   156	0.0593199
   157	0.0591046
   158	0.0588917
   159	0.0586807
   160	0.0584722
   161	0.0582657
   162	0.0580613
   163	0.057859
   164	0.0576587
   165	0.0574605
   166	0.0572642
   167	0.0570699
   168	0.0568774
   169	0.0566869
   170	0.0564981
   171	0.0563112
   172	0.056126
   173	0.0559427
   174	0.055761
   175	0.0555811
   176	0.0554028
   177	0.0552261
   178	0.0550511
   179	0.0548777
   180	0.0547058
   181	0.0545355
   182	0.0543667
   183	0.0541994
   184	0.0540336
   185	0.0538693
   186	0.0537062
   187	0.0535448
   188	0.0533846
   189	0.0532258
   190	0.0530683
   191	0.0529124
   192	0.0527575
   193	0.0526041
   194	0.0524518
   195	0.0523008
   196	0.052151
   197	0.0520026
   198	0.0518553
   199	0.0517092
   200	0.0515642
   201	0.0514204
   202	0.0512777
   203	0.0511361
   204	0.0509956
   205	0.0508563
   206	0.0507179
   207	0.0505808
   208	0.0504446
   209	0.0503094
   210	0.0501754
   211	0.0500423
   212	0.0499101
   213	0.0497789
   214	0.0496488
   215	0.0495195
   216	0.0493912
   217	0.0492638
   218	0.0491374
   219	0.0490119
   220	0.0488872
   221	0.0487634
   222	0.0486405
   223	0.0485185
   224	0.0483973
   225	0.048277
   226	0.0481575
   227	0.0480387
   228	0.0479209
   229	0.0478039
   230	0.0476875
   231	0.047572
   232	0.0474572
   233	0.0473432
   234	0.0472301
   235	0.0471175
   236	0.0470058
   237	0.0468948
   238	0.0467845
   239	0.0466749
   240	0.046566
   241	0.0464579
   242	0.0463503
   243	0.0462434
   244	0.0461373
   245	0.0460318
   246	0.045927
   247	0.0458228
   248	0.0457192
   249	0.0456162
   250	0.0455139
   251	0.0454122
   252	0.0453112
   253	0.0452108
   254	0.0451108
   255	0.0450116
   256	0.0449129
   257	0.0448148
   258	0.0447172
   259	0.0446202
   260	0.0445239
   261	0.044428
   262	0.0443326
   263	0.044238
   264	0.0441437
   265	0.0440501
   266	0.0439568
   267	0.0438643
   268	0.0437721
   269	0.0436805
   270	0.0435894
   271	0.0434988
   272	0.0434087
   273	0.0433191
   274	0.04323
   275	0.0431414
   276	0.0430531
   277	0.0429654
   278	0.0428782
   279	0.0427914
   280	0.0427051
   281	0.0426192
   282	0.0425339
   283	0.0424488
   284	0.0423643
   285	0.0422803
   286	0.0421965
