 step	(v(vg)-v(sb))	at
     1	0.379089	0.379089
     2	0.391003	0.391003
     3	0.393944	0.393944
     4	0.39687	0.39687
     5	0.399782	0.399782
     6	0.40268	0.40268
     7	0.405565	0.405565
     8	0.408437	0.408437
     9	0.411296	0.411296
    10	0.414143	0.414143
    11	0.416977	0.416977
    12	0.419796	0.419796
    13	0.422603	0.422603
    14	0.425398	0.425398
    15	0.428183	0.428183
    16	0.430956	0.430956
    17	0.433713	0.433713
    18	0.436461	0.436461
    19	0.439198	0.439198
    20	0.441924	0.441924
    21	0.444636	0.444636
    22	0.447339	0.447339
    23	0.450033	0.450033
    24	0.452712	0.452712
    25	0.455382	0.455382
    26	0.458043	0.458043
    27	0.46069	0.46069
    28	0.463329	0.463329
    29	0.46596	0.46596
    30	0.468576	0.468576
    31	0.471185	0.471185
    32	0.473784	0.473784
    33	0.476372	0.476372
    34	0.478953	0.478953
    35	0.48152	0.48152
    36	0.484082	0.484082
    37	0.486631	0.486632
    38	0.489174	0.489174
    39	0.491706	0.491706
    40	0.49423	0.49423
    41	0.496744	0.496744
    42	0.49925	0.49925
    43	0.501747	0.501747
    44	0.504235	0.504235
    45	0.506715	0.506715
    46	0.509187	0.509187
    47	0.511649	0.511649
    48	0.514105	0.514105
    49	0.51655	0.51655
    50	0.518991	0.518991
    51	0.521418	0.521418
    52	0.523842	0.523842
    53	0.526256	0.526256
    54	0.528662	0.528662
    55	0.531063	0.531063
    56	0.533452	0.533452
    57	0.535837	0.535837
    58	0.538212	0.538212
    59	0.54058	0.54058
    60	0.542944	0.542944
    61	0.545296	0.545296
    62	0.547642	0.547642
    63	0.549984	0.549984
    64	0.552315	0.552315
    65	0.55464	0.55464
    66	0.556961	0.556961
    67	0.55927	0.55927
    68	0.561575	0.561575
    69	0.563874	0.563874
    70	0.566165	0.566165
    71	0.568448	0.568448
    72	0.570727	0.570727
    73	0.573001	0.573001
    74	0.575263	0.575264
    75	0.577521	0.577521
    76	0.579775	0.579774
    77	0.582022	0.582022
    78	0.58426	0.58426
    79	0.586492	0.586492
    80	0.58872	0.58872
    81	0.590943	0.590943
    82	0.593157	0.593157
    83	0.595365	0.595365
    84	0.597568	0.597568
    85	0.599766	0.599766
    86	0.601959	0.601959
    87	0.604143	0.604143
    88	0.606322	0.606322
    89	0.608496	0.608496
    90	0.610665	0.610664
    91	0.612828	0.612828
    92	0.614987	0.614987
    93	0.617137	0.617137
    94	0.619282	0.619282
    95	0.621422	0.621422
    96	0.623558	0.623558
    97	0.625688	0.625688
    98	0.627813	0.627813
    99	0.629934	0.629934
   100	0.632048	0.632048
   101	0.634156	0.634156
