vout	Is(M2)	Is(M4)
0.000000000000000e+00	9.999639e-06	2.004573e-05
1.000000000000000e-03	9.999639e-06	2.004571e-05
2.000000000000000e-03	9.999639e-06	2.004570e-05
3.000000000000000e-03	9.999639e-06	2.004569e-05
4.000000000000000e-03	9.999639e-06	2.004567e-05
5.000000000000000e-03	9.999639e-06	2.004566e-05
6.000000000000000e-03	9.999639e-06	2.004565e-05
7.000000000000000e-03	9.999639e-06	2.004563e-05
8.000000000000000e-03	9.999639e-06	2.004562e-05
9.000000000000001e-03	9.999639e-06	2.004561e-05
1.000000000000000e-02	9.999639e-06	2.004560e-05
1.100000000000000e-02	9.999639e-06	2.004558e-05
1.200000000000000e-02	9.999639e-06	2.004557e-05
1.300000000000000e-02	9.999639e-06	2.004556e-05
1.400000000000001e-02	9.999639e-06	2.004554e-05
1.500000000000001e-02	9.999639e-06	2.004553e-05
1.600000000000001e-02	9.999639e-06	2.004552e-05
1.700000000000001e-02	9.999639e-06	2.004551e-05
1.800000000000001e-02	9.999639e-06	2.004549e-05
1.900000000000001e-02	9.999639e-06	2.004548e-05
2.000000000000001e-02	9.999639e-06	2.004547e-05
2.100000000000001e-02	9.999639e-06	2.004545e-05
2.200000000000001e-02	9.999639e-06	2.004544e-05
2.300000000000001e-02	9.999639e-06	2.004543e-05
2.400000000000001e-02	9.999639e-06	2.004541e-05
2.500000000000002e-02	9.999639e-06	2.004540e-05
2.600000000000002e-02	9.999639e-06	2.004539e-05
2.700000000000002e-02	9.999639e-06	2.004538e-05
2.800000000000002e-02	9.999639e-06	2.004536e-05
2.900000000000002e-02	9.999639e-06	2.004535e-05
3.000000000000002e-02	9.999639e-06	2.004534e-05
3.100000000000002e-02	9.999639e-06	2.004532e-05
3.200000000000002e-02	9.999639e-06	2.004531e-05
3.300000000000002e-02	9.999639e-06	2.004530e-05
3.400000000000002e-02	9.999639e-06	2.004529e-05
3.500000000000002e-02	9.999639e-06	2.004527e-05
3.600000000000003e-02	9.999639e-06	2.004526e-05
3.700000000000003e-02	9.999639e-06	2.004525e-05
3.800000000000003e-02	9.999639e-06	2.004523e-05
3.900000000000003e-02	9.999639e-06	2.004522e-05
4.000000000000003e-02	9.999639e-06	2.004521e-05
4.100000000000003e-02	9.999639e-06	2.004519e-05
4.200000000000003e-02	9.999639e-06	2.004518e-05
4.300000000000003e-02	9.999639e-06	2.004517e-05
4.400000000000003e-02	9.999639e-06	2.004515e-05
4.500000000000003e-02	9.999639e-06	2.004514e-05
4.600000000000003e-02	9.999639e-06	2.004513e-05
4.700000000000003e-02	9.999639e-06	2.004512e-05
4.800000000000004e-02	9.999639e-06	2.004510e-05
4.900000000000004e-02	9.999639e-06	2.004509e-05
5.000000000000004e-02	9.999639e-06	2.004508e-05
5.100000000000004e-02	9.999639e-06	2.004506e-05
5.200000000000004e-02	9.999639e-06	2.004505e-05
5.300000000000004e-02	9.999639e-06	2.004504e-05
5.400000000000004e-02	9.999639e-06	2.004502e-05
5.500000000000004e-02	9.999639e-06	2.004501e-05
5.600000000000004e-02	9.999639e-06	2.004500e-05
5.700000000000004e-02	9.999639e-06	2.004498e-05
5.800000000000004e-02	9.999639e-06	2.004497e-05
5.900000000000005e-02	9.999639e-06	2.004496e-05
6.000000000000005e-02	9.999639e-06	2.004495e-05
6.100000000000005e-02	9.999639e-06	2.004493e-05
6.200000000000005e-02	9.999639e-06	2.004492e-05
6.300000000000004e-02	9.999639e-06	2.004491e-05
6.400000000000004e-02	9.999639e-06	2.004489e-05
6.500000000000004e-02	9.999639e-06	2.004488e-05
6.600000000000004e-02	9.999639e-06	2.004487e-05
6.700000000000005e-02	9.999639e-06	2.004486e-05
6.800000000000005e-02	9.999639e-06	2.004484e-05
6.900000000000005e-02	9.999639e-06	2.004483e-05
7.000000000000005e-02	9.999639e-06	2.004482e-05
7.100000000000005e-02	9.999639e-06	2.004480e-05
7.200000000000005e-02	9.999639e-06	2.004479e-05
7.300000000000005e-02	9.999639e-06	2.004478e-05
7.400000000000005e-02	9.999639e-06	2.004476e-05
7.500000000000005e-02	9.999639e-06	2.004475e-05
7.600000000000005e-02	9.999639e-06	2.004474e-05
7.700000000000005e-02	9.999639e-06	2.004473e-05
7.800000000000006e-02	9.999639e-06	2.004471e-05
7.900000000000006e-02	9.999639e-06	2.004470e-05
8.000000000000006e-02	9.999639e-06	2.004469e-05
8.100000000000006e-02	9.999639e-06	2.004467e-05
8.200000000000006e-02	9.999639e-06	2.004466e-05
8.300000000000006e-02	9.999639e-06	2.004465e-05
8.400000000000006e-02	9.999639e-06	2.004463e-05
8.500000000000006e-02	9.999639e-06	2.004462e-05
8.600000000000006e-02	9.999639e-06	2.004461e-05
8.700000000000006e-02	9.999639e-06	2.004460e-05
