step	(1.8-v(vg))	at
     1	0.435497	0.435497
     2	0.438593	0.438593
     3	0.441676	0.441676
     4	0.444746	0.444746
     5	0.447802	0.447802
     6	0.450846	0.450846
     7	0.453877	0.453877
     8	0.456896	0.456896
     9	0.459902	0.459902
    10	0.462896	0.462896
    11	0.465877	0.465877
    12	0.468847	0.468847
    13	0.471805	0.471805
    14	0.474752	0.474752
    15	0.477687	0.477687
    16	0.480611	0.480611
    17	0.483524	0.483524
    18	0.486426	0.486426
    19	0.489317	0.489317
    20	0.492198	0.492198
    21	0.495069	0.495069
    22	0.497928	0.497928
    23	0.500776	0.500776
    24	0.503614	0.503614
    25	0.506443	0.506443
    26	0.509262	0.509262
    27	0.512072	0.512072
    28	0.51487	0.51487
    29	0.517659	0.517659
    30	0.520438	0.520438
    31	0.523209	0.523209
    32	0.525971	0.525971
    33	0.528722	0.528722
    34	0.531464	0.531464
    35	0.534198	0.534198
    36	0.536924	0.536924
    37	0.539638	0.539638
    38	0.542345	0.542345
    39	0.545045	0.545045
    40	0.547734	0.547734
    41	0.550415	0.550415
    42	0.553089	0.553089
    43	0.555753	0.555753
    44	0.558409	0.558409
    45	0.561059	0.561059
    46	0.563698	0.563698
    47	0.56633	0.56633
    48	0.568956	0.568956
    49	0.571571	0.571571
    50	0.574181	0.574181
    51	0.576782	0.576782
    52	0.579375	0.579375
    53	0.581963	0.581963
    54	0.58454	0.58454
    55	0.587113	0.587113
    56	0.589676	0.589676
    57	0.592233	0.592233
    58	0.594783	0.594783
    59	0.597325	0.597325
    60	0.599862	0.599862
    61	0.602389	0.602389
    62	0.604912	0.604912
    63	0.607426	0.607426
    64	0.609936	0.609936
    65	0.612436	0.612436
    66	0.614932	0.614932
    67	0.617419	0.617419
    68	0.619902	0.619902
    69	0.622376	0.622376
    70	0.624845	0.624845
    71	0.627307	0.627307
    72	0.629764	0.629764
    73	0.632214	0.632214
    74	0.634657	0.634657
    75	0.637096	0.637096
    76	0.639526	0.639526
    77	0.641953	0.641953
    78	0.644371	0.644371
    79	0.646785	0.646785
    80	0.649192	0.649192
    81	0.651593	0.651593
    82	0.653991	0.653991
    83	0.65638	0.65638
    84	0.658765	0.658765
    85	0.661144	0.661144
    86	0.663516	0.663516
    87	0.665885	0.665885
    88	0.668247	0.668247
    89	0.670603	0.670603
    90	0.672956	0.672956
    91	0.6753	0.6753
    92	0.677641	0.677641
    93	0.679978	0.679978
    94	0.682306	0.682306
    95	0.684631	0.684631
    96	0.686952	0.686952
    97	0.689265	0.689265
    98	0.691574	0.691574
    99	0.693879	0.693879
   100	0.696178	0.696178
   101	0.698471	0.698471
