Freq.	V(out)
1.00000000000000e+00	(7.83567734672928e+01dB,-3.28971607097680e-02°)
1.02329299228075e+00	(7.83567733967502e+01dB,-3.36981882899040e-02°)
1.04712854805090e+00	(7.83567733228799e+01dB,-3.45170830779362e-02°)
1.07151930523761e+00	(7.83567732455251e+01dB,-3.53542792614633e-02°)
1.09647819614318e+00	(7.83567731645220e+01dB,-3.62102207316357e-02°)
1.12201845430196e+00	(7.83567730796985e+01dB,-3.70853613185067e-02°)
1.14815362149688e+00	(7.83567729908748e+01dB,-3.79801650316524e-02°)
1.17489755493953e+00	(7.83567728978626e+01dB,-3.88951063061877e-02°)
1.20226443461741e+00	(7.83567728004644e+01dB,-3.98306702543106e-02°)
1.23026877081238e+00	(7.83567726984737e+01dB,-4.07873529225069e-02°)
1.25892541179417e+00	(7.83567725916742e+01dB,-4.17656615545508e-02°)
1.28824955169313e+00	(7.83567724798393e+01dB,-4.27661148604431e-02°)
1.31825673855641e+00	(7.83567723627318e+01dB,-4.37892432914275e-02°)
1.34896288259165e+00	(7.83567722401034e+01dB,-4.48355893212316e-02°)
1.38038426460288e+00	(7.83567721116938e+01dB,-4.59057077336819e-02°)
1.41253754462275e+00	(7.83567719772308e+01dB,-4.70001659168444e-02°)
1.44543977074593e+00	(7.83567718364291e+01dB,-4.81195441638479e-02°)
1.47910838816821e+00	(7.83567716889901e+01dB,-4.92644359805478e-02°)
1.51356124843621e+00	(7.83567715346010e+01dB,-5.04354484001957e-02°)
1.54881661891248e+00	(7.83567713729343e+01dB,-5.16332023052788e-02°)
1.58489319246111e+00	(7.83567712036472e+01dB,-5.28583327567023e-02°)
1.62181009735893e+00	(7.83567710263805e+01dB,-5.41114893304878e-02°)
1.65958690743756e+00	(7.83567708407582e+01dB,-5.53933364621660e-02°)
1.69824365246174e+00	(7.83567706463867e+01dB,-5.67045537990468e-02°)
1.73780082874937e+00	(7.83567704428536e+01dB,-5.80458365605539e-02°)
1.77827941003892e+00	(7.83567702297272e+01dB,-5.94178959068133e-02°)
1.81970085860998e+00	(7.83567700065554e+01dB,-6.08214593156925e-02°)
1.86208713666287e+00	(7.83567697728649e+01dB,-6.22572709684896e-02°)
1.90546071796325e+00	(7.83567695281600e+01dB,-6.37260921444764e-02°)
1.94984459975804e+00	(7.83567692719216e+01dB,-6.52287016245050e-02°)
1.99526231496888e+00	(7.83567690036062e+01dB,-6.67658961038917e-02°)
2.04173794466953e+00	(7.83567687226447e+01dB,-6.83384906147966e-02°)
2.08929613085404e+00	(7.83567684284411e+01dB,-6.99473189583228e-02°)
2.13796208950223e+00	(7.83567681203714e+01dB,-7.15932341465643e-02°)
2.18776162394955e+00	(7.83567677977821e+01dB,-7.32771088548367e-02°)
2.23872113856834e+00	(7.83567674599891e+01dB,-7.49998358843301e-02°)
2.29086765276777e+00	(7.83567671062756e+01dB,-7.67623286354293e-02°)
2.34422881531992e+00	(7.83567667358916e+01dB,-7.85655215919521e-02°)
2.39883291901949e+00	(7.83567663480514e+01dB,-8.04103708165625e-02°)
2.45470891568503e+00	(7.83567659419323e+01dB,-8.22978544576195e-02°)
2.51188643150958e+00	(7.83567655166729e+01dB,-8.42289732677331e-02°)
2.57039578276886e+00	(7.83567650713711e+01dB,-8.62047511342991e-02°)
2.63026799189538e+00	(7.83567646050825e+01dB,-8.82262356222942e-02°)
2.69153480392691e+00	(7.83567641168180e+01dB,-9.02944985296208e-02°)
2.75422870333816e+00	(7.83567636055419e+01dB,-9.24106364552929e-02°)
2.81838293126445e+00	(7.83567630701697e+01dB,-9.45757713807656e-02°)
2.88403150312660e+00	(7.83567625095658e+01dB,-9.67910512647151e-02°)
2.95120922666638e+00	(7.83567619225412e+01dB,-9.90576506515849e-02°)
3.01995172040201e+00	(7.83567613078507e+01dB,-1.01376771294219e-01°)
3.09029543251359e+00	(7.83567606641904e+01dB,-1.03749642790913e-01°)
3.16227766016837e+00	(7.83567599901951e+01dB,-1.06177523237219e-01°)
3.23593656929628e+00	(7.83567592844352e+01dB,-1.08661699892852e-01°)
3.31131121482591e+00	(7.83567585454137e+01dB,-1.11203489864043e-01°)
3.38844156139202e+00	(7.83567577715630e+01dB,-1.13804240801712e-01°)
3.46736850452531e+00	(7.83567569612417e+01dB,-1.16465331615822e-01°)
3.54813389233575e+00	(7.83567561127310e+01dB,-1.19188173206287e-01°)
3.63078054770101e+00	(7.83567552242311e+01dB,-1.21974209210835e-01°)
3.71535229097172e+00	(7.83567542938575e+01dB,-1.24824916770211e-01°)
3.80189396320560e+00	(7.83567533196367e+01dB,-1.27741807311124e-01°)
3.89045144994280e+00	(7.83567522995023e+01dB,-1.30726427347360e-01°)
3.98107170553496e+00	(7.83567512312905e+01dB,-1.33780359299473e-01°)
4.07380277804112e+00	(7.83567501127355e+01dB,-1.36905222333502e-01°)
4.16869383470335e+00	(7.83567489414648e+01dB,-1.40102673219140e-01°)
4.26579518801592e+00	(7.83567477149938e+01dB,-1.43374407207826e-01°)
4.36515832240165e+00	(7.83567464307213e+01dB,-1.46722158931208e-01°)
4.46683592150962e+00	(7.83567450859232e+01dB,-1.50147703320462e-01°)
4.57088189614874e+00	(7.83567436777469e+01dB,-1.53652856546951e-01°)
4.67735141287197e+00	(7.83567422032057e+01dB,-1.57239476984714e-01°)
4.78630092322637e+00	(7.83567406591718e+01dB,-1.60909466195307e-01°)
