step	1/(id0*rout)
     1	0.640431
     2	0.541491
     3	0.467187
     4	0.407208
     5	0.357343
     6	0.315536
     7	0.280532
     8	0.251364
     9	0.227179
    10	0.207193
    11	0.190693
    12	0.177048
    13	0.165716
    14	0.156241
    15	0.148252
    16	0.141448
    17	0.135591
    18	0.130491
    19	0.125999
    20	0.122001
    21	0.118405
    22	0.11514
    23	0.112151
    24	0.109394
    25	0.106834
    26	0.104443
    27	0.1022
    28	0.100085
    29	0.0980843
    30	0.0961859
    31	0.0943791
    32	0.0926555
    33	0.0910078
    34	0.0894297
    35	0.0879154
    36	0.0864604
    37	0.0850603
    38	0.0837115
    39	0.0824105
    40	0.0811542
    41	0.0799399
    42	0.0787652
    43	0.0776277
    44	0.0765253
    45	0.0754561
    46	0.0744184
    47	0.0734105
    48	0.0724308
    49	0.0714781
    50	0.070551
    51	0.0696484
    52	0.0687689
    53	0.0679117
    54	0.0670758
    55	0.0662601
    56	0.0654639
    57	0.0646863
    58	0.0639267
    59	0.0631842
    60	0.0624583
    61	0.0617483
    62	0.0610535
    63	0.0603735
    64	0.0597077
    65	0.0590557
    66	0.0584168
    67	0.0577907
    68	0.0571769
    69	0.0565753
    70	0.0559851
    71	0.0554061
    72	0.054838
    73	0.0542805
    74	0.0537332
    75	0.0531957
    76	0.052668
    77	0.0521497
    78	0.0516404
    79	0.05114
    80	0.0506481
    81	0.0501648
    82	0.0496895
    83	0.0492222
    84	0.0487627
    85	0.0483107
    86	0.0478661
    87	0.0474288
    88	0.0469984
    89	0.0465749
    90	0.0461581
    91	0.0457478
    92	0.045344
    93	0.0449463
    94	0.0445548
    95	0.0441692
    96	0.0437895
    97	0.0434155
    98	0.0430471
    99	0.0426841
   100	0.0423267
   101	0.0419743
   102	0.0416272
   103	0.0412851
   104	0.0409479
   105	0.0406156
   106	0.040288
   107	0.039965
   108	0.0396466
   109	0.0393328
   110	0.0390233
   111	0.0387179
   112	0.038417
   113	0.0381202
   114	0.0378274
   115	0.0375387
   116	0.0372538
   117	0.0369727
   118	0.0366956
   119	0.036422
   120	0.0361523
   121	0.035886
   122	0.0356232
   123	0.035364
   124	0.0351081
   125	0.0348556
   126	0.0346064
   127	0.0343604
   128	0.0341175
   129	0.0338778
   130	0.0336412
   131	0.0334075
   132	0.033177
   133	0.0329492
   134	0.0327244
   135	0.0325024
   136	0.0322832
   137	0.0320667
   138	0.0318529
   139	0.0316417
   140	0.0314332
   141	0.0312273
   142	0.0310239
   143	0.0308229
   144	0.0306244
   145	0.0304283
   146	0.0302347
   147	0.0300433
   148	0.0298543
   149	0.0296675
   150	0.0294829
   151	0.0293006
   152	0.0291203
   153	0.0289424
   154	0.0287663
   155	0.0285925
   156	0.0284207
   157	0.0282508
   158	0.028083
   159	0.0279171
   160	0.0277531
   161	0.0275911
   162	0.0274309
   163	0.0272725
   164	0.027116
   165	0.0269611
   166	0.0268082
   167	0.0266569
   168	0.0265074
   169	0.0263594
   170	0.0262132
   171	0.0260687
   172	0.0259258
   173	0.0257844
   174	0.0256446
   175	0.0255064
   176	0.0253697
   177	0.0252345
   178	0.0251008
   179	0.0249685
   180	0.0248377
   181	0.0247084
   182	0.0245804
   183	0.0244538
   184	0.0243287
   185	0.0242048
   186	0.0240823
   187	0.0239611
   188	0.0238411
   189	0.0237225
   190	0.0236051
   191	0.023489
   192	0.0233741
   193	0.0232603
   194	0.0231479
   195	0.0230365
   196	0.0229264
   197	0.0228174
   198	0.0227095
   199	0.0226028
   200	0.0224971
   201	0.0223925
   202	0.0222891
   203	0.0221866
   204	0.0220852
   205	0.0219849
   206	0.0218855
   207	0.0217872
   208	0.0216899
   209	0.0215936
   210	0.0214982
   211	0.0214037
   212	0.0213103
   213	0.0212177
   214	0.0211261
   215	0.0210354
   216	0.0209456
   217	0.0208566
   218	0.0207686
   219	0.0206815
   220	0.0205951
   221	0.0205095
   222	0.0204249
   223	0.0203411
   224	0.020258
   225	0.0201758
   226	0.0200943
   227	0.0200137
   228	0.0199338
   229	0.0198547
   230	0.0197763
   231	0.0196987
   232	0.0196217
   233	0.0195456
   234	0.0194702
   235	0.0193954
   236	0.0193213
   237	0.019248
   238	0.0191753
   239	0.0191033
   240	0.019032
   241	0.0189613
   242	0.0188913
   243	0.0188219
   244	0.0187531
   245	0.018685
   246	0.0186175
   247	0.0185506
   248	0.0184844
   249	0.0184187
   250	0.0183536
   251	0.0182892
   252	0.0182252
   253	0.0181619
   254	0.018099
   255	0.0180368
   256	0.0179751
   257	0.0179139
   258	0.0178533
   259	0.0177933
   260	0.0177338
   261	0.0176747
   262	0.0176162
   263	0.0175582
   264	0.0175007
   265	0.0174436
   266	0.0173872
   267	0.0173311
   268	0.0172756
   269	0.0172205
   270	0.0171659
   271	0.0171117
   272	0.0170581
   273	0.0170048
   274	0.016952
   275	0.0168997
   276	0.0168478
   277	0.0167963
   278	0.0167452
   279	0.0166946
