vin	V(out)	V(n001)
0.000000000000000e+00	3.868016e-07	0.000000e+00
1.000000000000000e-03	3.933023e-07	1.000000e-03
2.000000000000000e-03	4.008291e-07	2.000000e-03
3.000000000000000e-03	4.087173e-07	3.000000e-03
4.000000000000000e-03	4.172904e-07	4.000000e-03
5.000000000000000e-03	4.266516e-07	5.000000e-03
6.000000000000000e-03	4.369226e-07	6.000000e-03
7.000000000000000e-03	4.482543e-07	7.000000e-03
8.000000000000000e-03	4.608357e-07	8.000000e-03
9.000000000000001e-03	4.749071e-07	9.000000e-03
1.000000000000000e-02	4.907800e-07	1.000000e-02
1.100000000000000e-02	5.088660e-07	1.100000e-02
1.200000000000000e-02	5.297226e-07	1.200000e-02
1.300000000000000e-02	5.541268e-07	1.300000e-02
1.400000000000001e-02	5.831983e-07	1.400000e-02
1.500000000000001e-02	6.186184e-07	1.500000e-02
1.600000000000001e-02	6.630423e-07	1.600000e-02
1.700000000000001e-02	7.209377e-07	1.700000e-02
1.800000000000001e-02	8.004651e-07	1.800000e-02
1.900000000000001e-02	9.182417e-07	1.900000e-02
2.000000000000001e-02	1.113547e-06	2.000000e-02
2.100000000000001e-02	1.500928e-06	2.100000e-02
2.200000000000001e-02	2.529398e-06	2.200000e-02
2.300000000000001e-02	8.046540e-06	2.300000e-02
2.400000000000001e-02	4.312785e-05	2.400000e-02
2.500000000000002e-02	2.637050e-04	2.500000e-02
2.600000000000002e-02	1.069639e-03	2.600000e-02
2.700000000000002e-02	2.523666e-03	2.700000e-02
2.800000000000002e-02	4.313336e-03	2.800000e-02
2.900000000000002e-02	6.224187e-03	2.900000e-02
3.000000000000002e-02	8.160778e-03	3.000000e-02
3.100000000000002e-02	1.008944e-02	3.100000e-02
3.200000000000002e-02	1.198525e-02	3.200000e-02
3.300000000000002e-02	1.383935e-02	3.300000e-02
3.400000000000002e-02	1.564848e-02	3.400000e-02
3.500000000000002e-02	1.741180e-02	3.500000e-02
3.600000000000003e-02	1.912992e-02	3.600000e-02
3.700000000000003e-02	2.080428e-02	3.700000e-02
3.800000000000003e-02	2.243676e-02	3.800000e-02
3.900000000000003e-02	2.402949e-02	3.900000e-02
4.000000000000003e-02	2.558465e-02	4.000000e-02
4.100000000000003e-02	2.710445e-02	4.100000e-02
4.200000000000003e-02	2.859105e-02	4.200000e-02
4.300000000000003e-02	3.004654e-02	4.300000e-02
4.400000000000003e-02	3.147292e-02	4.400000e-02
4.500000000000003e-02	3.287210e-02	4.500000e-02
4.600000000000003e-02	3.424588e-02	4.600000e-02
4.700000000000003e-02	3.559595e-02	4.700000e-02
4.800000000000004e-02	3.692392e-02	4.800000e-02
4.900000000000004e-02	3.823128e-02	4.900000e-02
5.000000000000004e-02	3.951943e-02	5.000000e-02
5.100000000000004e-02	4.078970e-02	5.100000e-02
5.200000000000004e-02	4.204331e-02	5.200000e-02
5.300000000000004e-02	4.328140e-02	5.300000e-02
5.400000000000004e-02	4.450504e-02	5.400000e-02
5.500000000000004e-02	4.571524e-02	5.500000e-02
5.600000000000004e-02	4.691291e-02	5.600000e-02
5.700000000000004e-02	4.809892e-02	5.700000e-02
5.800000000000004e-02	4.927406e-02	5.800000e-02
5.900000000000005e-02	5.043910e-02	5.900000e-02
6.000000000000005e-02	5.159472e-02	6.000000e-02
6.100000000000005e-02	5.274155e-02	6.100000e-02
6.200000000000005e-02	5.388021e-02	6.200000e-02
6.300000000000004e-02	5.501124e-02	6.300000e-02
6.400000000000004e-02	5.613516e-02	6.400000e-02
6.500000000000004e-02	5.725245e-02	6.500000e-02
6.600000000000004e-02	5.836356e-02	6.600000e-02
6.700000000000005e-02	5.946889e-02	6.700000e-02
6.800000000000005e-02	6.056882e-02	6.800000e-02
6.900000000000005e-02	6.166372e-02	6.900000e-02
7.000000000000005e-02	6.275391e-02	7.000000e-02
7.100000000000005e-02	6.383970e-02	7.100000e-02
7.200000000000005e-02	6.492137e-02	7.200000e-02
7.300000000000005e-02	6.599919e-02	7.300000e-02
7.400000000000005e-02	6.707340e-02	7.400000e-02
7.500000000000005e-02	6.814423e-02	7.500000e-02
7.600000000000005e-02	6.921189e-02	7.600000e-02
7.700000000000005e-02	7.027659e-02	7.700000e-02
7.800000000000006e-02	7.133849e-02	7.800000e-02
7.900000000000006e-02	7.239778e-02	7.900000e-02
8.000000000000006e-02	7.345462e-02	8.000000e-02
8.100000000000006e-02	7.450914e-02	8.100000e-02
8.200000000000006e-02	7.556150e-02	8.200000e-02
8.300000000000006e-02	7.661182e-02	8.300000e-02
8.400000000000006e-02	7.766021e-02	8.400000e-02
8.500000000000006e-02	7.870680e-02	8.500000e-02
8.600000000000006e-02	7.975169e-02	8.600000e-02
8.700000000000006e-02	8.079496e-02	8.700000e-02
8.800000000000006e-02	8.183673e-02	8.800000e-02
8.900000000000007e-02	8.287707e-02	8.900000e-02
9.000000000000007e-02	8.391605e-02	9.000000e-02
9.100000000000007e-02	8.495378e-02	9.100000e-02
9.200000000000007e-02	8.599029e-02	9.200000e-02
9.300000000000007e-02	8.702566e-02	9.300000e-02
9.400000000000007e-02	8.805997e-02	9.400000e-02
9.500000000000007e-02	8.909326e-02	9.500000e-02
9.600000000000007e-02	9.012558e-02	9.600000e-02
9.700000000000007e-02	9.115700e-02	9.700000e-02
9.800000000000007e-02	9.218755e-02	9.800000e-02
9.900000000000007e-02	9.321728e-02	9.900000e-02
1.000000000000001e-01	9.424623e-02	1.000000e-01
1.010000000000001e-01	9.527445e-02	1.010000e-01
1.020000000000001e-01	9.630197e-02	1.020000e-01
1.030000000000001e-01	9.732883e-02	1.030000e-01
1.040000000000001e-01	9.835506e-02	1.040000e-01
1.050000000000001e-01	9.938069e-02	1.050000e-01
1.060000000000001e-01	1.004058e-01	1.060000e-01
1.070000000000001e-01	1.014303e-01	1.070000e-01
1.080000000000001e-01	1.024543e-01	1.080000e-01
1.090000000000001e-01	1.034778e-01	1.090000e-01
1.100000000000001e-01	1.045009e-01	1.100000e-01
1.110000000000001e-01	1.055235e-01	1.110000e-01
1.120000000000001e-01	1.065456e-01	1.120000e-01
1.130000000000001e-01	1.075674e-01	1.130000e-01
1.140000000000001e-01	1.085888e-01	1.140000e-01
1.150000000000001e-01	1.096099e-01	1.150000e-01
1.160000000000001e-01	1.106306e-01	1.160000e-01
1.170000000000001e-01	1.116509e-01	1.170000e-01
1.180000000000001e-01	1.126709e-01	1.180000e-01
1.190000000000001e-01	1.136907e-01	1.190000e-01
1.200000000000001e-01	1.147101e-01	1.200000e-01
1.210000000000001e-01	1.157293e-01	1.210000e-01
1.220000000000001e-01	1.167482e-01	1.220000e-01
1.230000000000001e-01	1.177668e-01	1.230000e-01
1.240000000000001e-01	1.187852e-01	1.240000e-01
1.250000000000001e-01	1.198034e-01	1.250000e-01
1.260000000000001e-01	1.208213e-01	1.260000e-01
1.270000000000001e-01	1.218391e-01	1.270000e-01
1.280000000000001e-01	1.228566e-01	1.280000e-01
1.290000000000001e-01	1.238740e-01	1.290000e-01
1.300000000000001e-01	1.248911e-01	1.300000e-01
1.310000000000001e-01	1.259081e-01	1.310000e-01
1.320000000000001e-01	1.269249e-01	1.320000e-01
1.330000000000001e-01	1.279415e-01	1.330000e-01
1.340000000000001e-01	1.289580e-01	1.340000e-01
1.350000000000001e-01	1.299743e-01	1.350000e-01
