vin	V(out)	V(n003)
0.000000000000000e+00	1.779882e+00	0.000000e+00
1.000000000000000e-03	1.779758e+00	1.000000e-03
2.000000000000000e-03	1.779612e+00	2.000000e-03
3.000000000000000e-03	1.779440e+00	3.000000e-03
4.000000000000000e-03	1.779237e+00	4.000000e-03
5.000000000000000e-03	1.778995e+00	5.000000e-03
6.000000000000000e-03	1.778711e+00	6.000000e-03
7.000000000000000e-03	1.778383e+00	7.000000e-03
8.000000000000000e-03	1.778011e+00	8.000000e-03
9.000000000000001e-03	1.777598e+00	9.000000e-03
1.000000000000000e-02	1.777147e+00	1.000000e-02
1.100000000000000e-02	1.776664e+00	1.100000e-02
1.200000000000000e-02	1.776152e+00	1.200000e-02
1.300000000000000e-02	1.775615e+00	1.300000e-02
1.400000000000001e-02	1.775054e+00	1.400000e-02
1.500000000000001e-02	1.774473e+00	1.500000e-02
1.600000000000001e-02	1.773872e+00	1.600000e-02
1.700000000000001e-02	1.773253e+00	1.700000e-02
1.800000000000001e-02	1.772617e+00	1.800000e-02
1.900000000000001e-02	1.771966e+00	1.900000e-02
2.000000000000001e-02	1.771299e+00	2.000000e-02
2.100000000000001e-02	1.770618e+00	2.100000e-02
2.200000000000001e-02	1.769923e+00	2.200000e-02
2.300000000000001e-02	1.769215e+00	2.300000e-02
2.400000000000001e-02	1.768495e+00	2.400000e-02
2.500000000000002e-02	1.767763e+00	2.500000e-02
2.600000000000002e-02	1.767020e+00	2.600000e-02
2.700000000000002e-02	1.766266e+00	2.700000e-02
2.800000000000002e-02	1.765501e+00	2.800000e-02
2.900000000000002e-02	1.764727e+00	2.900000e-02
3.000000000000002e-02	1.763943e+00	3.000000e-02
3.100000000000002e-02	1.763150e+00	3.100000e-02
3.200000000000002e-02	1.762348e+00	3.200000e-02
3.300000000000002e-02	1.761539e+00	3.300000e-02
3.400000000000002e-02	1.760721e+00	3.400000e-02
3.500000000000002e-02	1.759896e+00	3.500000e-02
3.600000000000003e-02	1.759064e+00	3.600000e-02
3.700000000000003e-02	1.758225e+00	3.700000e-02
3.800000000000003e-02	1.757380e+00	3.800000e-02
3.900000000000003e-02	1.756528e+00	3.900000e-02
4.000000000000003e-02	1.755670e+00	4.000000e-02
4.100000000000003e-02	1.754807e+00	4.100000e-02
4.200000000000003e-02	1.753939e+00	4.200000e-02
4.300000000000003e-02	1.753065e+00	4.300000e-02
4.400000000000003e-02	1.752186e+00	4.400000e-02
