VSB,UTH
0,0.459029	
1,0.461759	
2,0.464487	
3,0.467213	
4,0.468758	
5,0.470046	
6,0.471329	
7,0.472613	
8,0.473898	
9,0.475182	
10,0.476465	
11,0.477749	
12,0.479033	
13,0.480315	
14,0.481598	
15,0.482882	
16,0.484165	
17,0.485447	
18,0.48673	
19,0.488014	
20,0.489294	
21,0.490576	
22,0.49186	
23,0.493141	
24,0.494422	
25,0.495704	
26,0.496988	
27,0.498267	
28,0.499548	
29,0.50083	
30,0.502112	
31,0.503392	
32,0.504673	
33,0.505955	
34,0.507234	
35,0.508514	
36,0.509795	
37,0.511076	
38,0.512355	
39,0.513635	
40,0.514916	
41,0.516195	
42,0.517474	
43,0.518754	
44,0.520034	
45,0.521312	
46,0.522591	
47,0.523871	
48,0.52515	
49,0.526427	
50,0.527706	
51,0.528986	
52,0.530263	
53,0.531541	
54,0.53282	
55,0.534098	
56,0.535375	
57,0.536653	
58,0.537932	
59,0.539208	
60,0.540485	
61,0.541763	
62,0.543041	
63,0.544317	
64,0.545593	
65,0.546871	
66,0.548148	
67,0.549423	
68,0.5507	
69,0.551978	
70,0.553253	
71,0.554528	
72,0.555805	
73,0.557081	
74,0.558356	
75,0.559631	
76,0.560908	
77,0.562183	
78,0.563457	
79,0.564733	
80,0.566009	
81,0.567282	
82,0.568557	
83,0.569832	
84,0.571107	
85,0.57238	
86,0.573655	
87,0.57493	
88,0.576203	
89,0.577477	
90,0.578751	
91,0.580026	
92,0.581298	
93,0.582571	
94,0.583846	
95,0.585119	
96,0.586391	
97,0.587664	
98,0.588938	
99,0.59021	
100,0.591482	
101,0.592755	
102,0.594029	
103,0.5953	
104,0.596572	
105,0.597845	
106,0.599117	
107,0.600388	
108,0.601659	
109,0.602932	
110,0.604203	
111,0.605474	
112,0.606745	
113,0.608018	
114,0.609288	
115,0.610558	
116,0.61183	
117,0.613101	
118,0.61437	
119,0.615641	
120,0.616912	
121,0.618182	
122,0.619451	
123,0.620722	
124,0.621993	
125,0.623262	
126,0.624531	
127,0.625801	
128,0.627071	
129,0.62834	
130,0.629609	
131,0.630879	
132,0.632148	
133,0.633416	
134,0.634685	
135,0.635955	
136,0.637222	
137,0.63849	
138,0.639759	
139,0.641029	
140,0.642295	
141,0.643563	
142,0.644832	
143,0.6461	
144,0.647367	
145,0.648634	
146,0.649903	
147,0.65117	
148,0.652436	
149,0.653704	
150,0.654972	
151,0.656238	
152,0.657504	
153,0.658772	
154,0.660039	
155,0.661304	
156,0.662571	
157,0.663838	
158,0.665104	
159,0.666369	
160,0.667635	
161,0.668902	
162,0.670168	
163,0.671432	
164,0.672698	
165,0.673965	
166,0.675229	
167,0.676494	
168,0.67776	
169,0.679026	
170,0.680289	
171,0.681554	
172,0.682819	
173,0.684085	
174,0.685348	
175,0.686612	
176,0.687877	
177,0.689141	
178,0.690404	
179,0.691669	
180,0.692934	
181,0.694197	
182,0.69546	
183,0.696724	
184,0.697989	
185,0.69925	
186,0.700513	
187,0.701777	
188,0.703041	
189,0.704303	
190,0.705565	
191,0.706829	
192,0.708092	
193,0.709353	
194,0.710615	
195,0.711879	
196,0.713141	
197,0.714402	
198,0.715664	
199,0.716927	
200,0.718188	
201,0.719449	
202,0.720711	
203,0.721974	
204,0.723234	
205,0.724495	
206,0.725757	
207,0.727019	
208,0.728279	
209,0.729539	
210,0.730801	
211,0.732062	
212,0.733321	
213,0.734582	
214,0.735843	
215,0.737104	
216,0.738363	
217,0.739623	
218,0.740884	
219,0.742143	
220,0.743402	
221,0.744662	
222,0.745923	
223,0.747182	
224,0.74844	
225,0.7497	
226,0.75096	
227,0.752218	
228,0.753477	
229,0.754736	
230,0.755996	
231,0.757254	
232,0.758512	
233,0.759771	
234,0.76103	
235,0.762287	
236,0.763545	
237,0.764804	
238,0.766063	
239,0.767319	
240,0.768577	
241,0.769835	
242,0.771094	
243,0.77235	
244,0.773607	
245,0.774865	
246,0.776123	
247,0.777379	
248,0.778636	
249,0.779894	
250,0.78115	
251,0.782406	
252,0.783663	
253,0.784921	
254,0.786177	
255,0.787432	
256,0.788689	
257,0.789946	
258,0.791201	
259,0.792457	
260,0.793713	
261,0.79497	
262,0.796224	
263,0.797479	
264,0.798735	
265,0.799992	
266,0.801246	
267,0.802501	
268,0.803756	
269,0.805013	
270,0.806266	
271,0.807521	
272,0.808776	
273,0.810032	
274,0.811285	
275,0.812539	
276,0.813794	
277,0.815049	
278,0.816302	
279,0.817556	
280,0.818811	
281,0.820065	
282,0.821318	
283,0.822571	
284,0.823826	
285,0.82508	
286,0.826332	
287,0.827585	
288,0.828839	
289,0.830093	
290,0.831345	
291,0.832598	
292,0.833852	
293,0.835105	
294,0.836356	
295,0.837609	
296,0.838862	
297,0.840115	
298,0.841366	
299,0.842618	
300,0.843871	
301,0.845123	
302,0.846374	
303,0.847626	
304,0.848879	
305,0.850131	
306,0.851381	
307,0.852633	
308,0.853885	
309,0.855136	
310,0.856387	
311,0.857638	
312,0.85889	
313,0.860141	
314,0.861391	
315,0.862642	
316,0.863893	
317,0.865144	
318,0.866393	
319,0.867644	
320,0.868895	
321,0.870145	
322,0.871395	
323,0.872645	
324,0.873896	
325,0.875145	
326,0.876394	
327,0.877644	
328,0.878895	
329,0.880144	
330,0.881393	
331,0.882642	
332,0.883893	
333,0.885141	
334,0.88639	
335,0.887639	
336,0.888889	
337,0.890137	
338,0.891385	
339,0.892634	
340,0.893884	
341,0.895132	
342,0.896379	
343,0.897628	
344,0.898877	
345,0.900125	
346,0.901372	
347,0.90262	
348,0.903869	
349,0.905117	
350,0.906364	
351,0.907611	
352,0.90886	
353,0.910107	
354,0.911354	
355,0.912601	
356,0.913849	
357,0.915096	
358,0.916342	
359,0.917589	
360,0.918837	
361,0.920084	
362,0.92133	
363,0.922576	
364,0.923823	
365,0.92507	
366,0.926315	
367,0.927561	
368,0.928808	
369,0.930055	
370,0.9313	
371,0.932546	
372,0.933792	
373,0.935039	
374,0.936283	
375,0.937529	
376,0.938775	
377,0.940021	
378,0.941265	
379,0.94251	
380,0.943756	
381,0.945003	
382,0.946246	
383,0.94749	
384,0.948736	
385,0.949982	
386,0.951225	
387,0.952469	
388,0.953714	
389,0.95496	
390,0.956203	
391,0.957447	
392,0.958691	
393,0.959937	
394,0.96118	
395,0.962423	
396,0.963667	
397,0.964912	
398,0.966156	
399,0.967398	
400,0.968642	
401,0.969886	
402,0.97113	
403,0.972372	
404,0.973615	
405,0.974859	
406,0.976103	
407,0.977344	
408,0.978587	
409,0.979831	
410,0.981074	
411,0.982316	
412,0.983558	
413,0.984801	
414,0.986045	
415,0.987285	
416,0.988527	
417,0.98977	
418,0.991014	
419,0.992254	
420,0.993496	
421,0.994738	
422,0.995981	
423,0.997222	
424,0.998463	
425,0.999704	
426,1.00095	
427,1.00219	
428,1.00343	
429,1.00467	
430,1.00591	
431,1.00715	
432,1.00839	
433,1.00963	
434,1.01088	
435,1.01212	
436,1.01336	
437,1.0146	
438,1.01584	
439,1.01708	
440,1.01832	
441,1.01956	
442,1.0208	
443,1.02204	
444,1.02328	
445,1.02452	
446,1.02576	
447,1.027	
448,1.02824	
449,1.02948	
450,1.03072	
451,1.03196	
