L,lambda
0.10,0.640985
0.12,0.555529
0.14,0.484091
0.16,0.423735
0.18,0.372482
0.20,0.329044
0.22,0.292441
0.24,0.261805
0.26,0.236312
0.28,0.215179
0.30,0.197681
0.32,0.183173
0.34,0.171097
0.36,0.160982
0.38,0.152441
0.40,0.145163
0.42,0.138896
0.44,0.133441
0.46,0.128643
0.48,0.124378
0.50,0.120549
0.52,0.11708
0.54,0.113912
0.56,0.110997
0.58,0.108297
0.60,0.105783
0.62,0.103429
0.64,0.101215
0.66,0.0991268
0.68,0.0971491
0.70,0.0952709
0.72,0.0934829
0.74,0.0917769
0.76,0.0901458
0.78,0.0885832
0.80,0.0870843
0.82,0.0856441
0.84,0.0842584
0.86,0.0829236
0.88,0.0816362
0.90,0.0803934
0.92,0.0791923
0.94,0.0780303
0.96,0.0769054
0.98,0.0758153
1.00,0.0747581
1.02,0.0737321
1.04,0.0727357
1.06,0.0717673
1.08,0.0708256
1.10,0.0699091
1.12,0.0690168
1.14,0.0681476
1.16,0.0673004
1.18,0.0664742
1.20,0.065668
1.22,0.0648811
1.24,0.0641127
1.26,0.063362
1.28,0.0626282
1.30,0.0619108
1.32,0.061209
1.34,0.0605224
1.36,0.0598505
1.38,0.0591924
1.40,0.0585479
1.42,0.0579166
1.44,0.0572979
1.46,0.0566913
1.48,0.0560966
1.50,0.0555134
1.52,0.0549412
1.54,0.0543796
1.56,0.0538286
1.58,0.0532877
1.60,0.0527567
1.62,0.052235
1.64,0.0517226
1.66,0.0512192
1.68,0.0507246
1.70,0.0502386
1.72,0.0497608
1.74,0.049291
1.76,0.0488291
1.78,0.0483749
1.80,0.0479281
1.82,0.0474887
1.84,0.0470563
1.86,0.0466309
1.88,0.0462123
1.90,0.0458003
1.92,0.0453947
1.94,0.0449954
1.96,0.0446024
1.98,0.0442153
2.00,0.0438342
2.02,0.0434588
2.04,0.0430891
2.06,0.0427249
2.08,0.0423662
2.10,0.0420126
2.12,0.0416643
2.14,0.0413211
2.16,0.0409829
2.18,0.0406495
2.20,0.0403208
2.22,0.039997
2.24,0.0396777
2.26,0.039363
2.28,0.0390526
2.30,0.0387465
2.32,0.0384448
2.34,0.0381471
2.36,0.0378535
2.38,0.0375641
2.40,0.0372786
2.42,0.0369969
2.44,0.036719
2.46,0.0364449
2.48,0.0361745
2.50,0.0359077
2.52,0.0356443
2.54,0.0353845
2.56,0.0351281
2.58,0.034875
2.60,0.0346253
2.62,0.0343788
2.64,0.0341356
2.66,0.0338954
2.68,0.0336584
2.70,0.0334243
2.72,0.0331932
2.74,0.0329651
2.76,0.0327399
2.78,0.0325175
2.80,0.0322979
2.82,0.032081
2.84,0.031867
2.86,0.0316555
2.88,0.0314466
2.90,0.0312404
2.92,0.0310367
2.94,0.0308353
2.96,0.0306366
2.98,0.0304402
3.00,0.0302463
3.02,0.0300546
3.04,0.0298653
3.06,0.0296783
3.08,0.0294935
3.10,0.0293109
3.12,0.0291305
3.14,0.0289522
3.16,0.028776
3.18,0.0286019
3.20,0.0284298
3.22,0.0282598
3.24,0.0280917
3.26,0.0279257
3.28,0.0277615
3.30,0.0275993
3.32,0.0274389
3.34,0.0272803
3.36,0.0271236
3.38,0.0269687
3.40,0.0268155
3.42,0.0266641
3.44,0.0265144
3.46,0.0263663
3.48,0.02622
3.50,0.0260753
3.52,0.0259323
3.54,0.0257908
3.56,0.0256508
3.58,0.0255126
3.60,0.0253756
3.62,0.0252404
3.64,0.0251066
3.66,0.0249742
3.68,0.0248432
3.70,0.0247138
3.72,0.0245858
3.74,0.0244591
3.76,0.0243338
3.78,0.0242097
3.80,0.0240872
3.82,0.0239659
3.84,0.0238459
3.86,0.0237271
3.88,0.0236095
3.90,0.0234934
3.92,0.0233785
3.94,0.0232646
3.96,0.0231521
3.98,0.0230406
4.00,0.0229304
4.02,0.0228214
4.04,0.0227134
4.06,0.0226066
4.08,0.0225008
4.10,0.0223962
4.12,0.0222927
4.14,0.0221901
4.16,0.0220887
4.18,0.0219883
4.20,0.0218888
4.22,0.0217905
4.24,0.0216931
4.26,0.0215967
4.28,0.0215013
4.30,0.0214068
4.32,0.0213133
4.34,0.0212207
4.36,0.021129
4.38,0.0210382
4.40,0.0209484
4.42,0.0208593
4.44,0.0207712
4.46,0.0206841
4.48,0.0205977
4.50,0.0205122
4.52,0.0204274
4.54,0.0203435
4.56,0.0202604
4.58,0.0201782
4.60,0.0200967
4.62,0.020016
4.64,0.019936
4.66,0.0198569
4.68,0.0197785
4.70,0.0197008
4.72,0.0196239
4.74,0.0195476
4.76,0.0194722
4.78,0.0193973
4.80,0.0193233
4.82,0.01925
4.84,0.0191772
4.86,0.0191052
4.88,0.0190339
4.90,0.0189632
4.92,0.0188931
4.94,0.0188236
4.96,0.0187549
4.98,0.0186868
5.00,0.0186193
5.02,0.0185523
5.04,0.018486
5.06,0.0184203
5.08,0.0183552
5.10,0.0182906
5.12,0.0182267
5.14,0.0181633
5.16,0.0181006
5.18,0.0180382
5.20,0.0179765
5.22,0.0179154
5.24,0.0178547
5.26,0.0177947
5.28,0.0177351
5.30,0.0176761
5.32,0.0176175
5.34,0.0175595
5.36,0.0175019
5.38,0.0174449
5.40,0.0173884
5.42,0.0173323
5.44,0.0172767
5.46,0.0172217
5.48,0.0171671
5.50,0.0171128
5.52,0.0170592
5.54,0.0170059
5.56,0.0169531
5.58,0.0169008
5.60,0.0168489
5.62,0.0167973
5.64,0.0167463
5.66,0.0166957
5.68,0.0166454
5.70,0.0165956
5.72,0.0165462
5.74,0.0164973
5.76,0.0164486
5.78,0.0164004
5.80,0.0163526
5.82,0.0163052
5.84,0.0162582
5.86,0.0162115
5.88,0.0161653
5.90,0.0161194
5.92,0.0160739
5.94,0.0160287
5.96,0.0159839
5.98,0.0159394
6.00,0.0158952
6.02,0.0158515
6.04,0.015808
6.06,0.0157649
6.08,0.0157222
6.10,0.0156798
6.12,0.0156377
6.14,0.015596
6.16,0.0155545
6.18,0.0155135
6.20,0.0154726
6.22,0.0154321
6.24,0.0153919
6.26,0.0153521
6.28,0.0153125
6.30,0.0152732
6.32,0.0152343
6.34,0.0151956
6.36,0.0151572
6.38,0.0151191
6.40,0.0150812
6.42,0.0150438
6.44,0.0150065
6.46,0.0149694
6.48,0.0149328
6.50,0.0148963
6.52,0.0148601
6.54,0.0148242
6.56,0.0147885
6.58,0.0147531
6.60,0.014718
6.62,0.0146831
6.64,0.0146486
6.66,0.0146141
6.68,0.01458
6.70,0.0145461
6.72,0.0145125
6.74,0.014479
6.76,0.0144458
6.78,0.0144129
6.80,0.0143801
6.82,0.0143477
6.84,0.0143154
6.86,0.0142834
6.88,0.0142515
6.90,0.01422
6.92,0.0141886
6.94,0.0141574
6.96,0.0141265
6.98,0.0140958
7.00,0.0140653
7.02,0.014035
7.04,0.0140049
7.06,0.0139749
7.08,0.0139453
7.10,0.0139158
7.12,0.0138864
7.14,0.0138573
7.16,0.0138284
7.18,0.0137997
7.20,0.0137712
7.22,0.0137428
7.24,0.0137147
7.26,0.0136867
7.28,0.0136589
7.30,0.0136313
7.32,0.0136039
7.34,0.0135766
7.36,0.0135496
7.38,0.0135227
7.40,0.013496
7.42,0.0134694
7.44,0.0134429
7.46,0.0134167
7.48,0.0133907
7.50,0.0133648
7.52,0.0133391
7.54,0.0133135
7.56,0.0132881
7.58,0.0132629
7.60,0.0132378
7.62,0.0132129
7.64,0.0131881
7.66,0.0131635
7.68,0.013139
7.70,0.0131147
7.72,0.0130905
7.74,0.0130665
7.76,0.0130427
7.78,0.0130189
7.80,0.0129953
7.82,0.0129719
7.84,0.0129486
7.86,0.0129255
7.88,0.0129024
7.90,0.0128795
7.92,0.0128567
7.94,0.0128341
7.96,0.0128117
7.98,0.0127893
8.00,0.0127671
8.02,0.012745
8.04,0.012723
8.06,0.0127012
8.08,0.0126795
8.10,0.0126579
8.12,0.0126365
8.14,0.0126152
8.16,0.012594
8.18,0.0125729
8.20,0.0125519
8.22,0.0125311
8.24,0.0125103
8.26,0.0124897
8.28,0.0124692
8.30,0.0124488
8.32,0.0124285
8.34,0.0124084
8.36,0.0123884
8.38,0.0123684
8.40,0.0123485
8.42,0.0123289
8.44,0.0123093
8.46,0.0122898
8.48,0.0122704
8.50,0.0122511
8.52,0.012232
8.54,0.0122129
8.56,0.012194
8.58,0.0121751
8.60,0.0121563
8.62,0.0121376
8.64,0.012119
8.66,0.0121006
8.68,0.0120822
8.70,0.0120639
8.72,0.0120458
8.74,0.0120277
8.76,0.0120097
8.78,0.0119918
8.80,0.011974
8.82,0.0119563
8.84,0.0119387
8.86,0.0119212
8.88,0.0119036
8.90,0.0118864
8.92,0.0118691
8.94,0.011852
8.96,0.0118349
8.98,0.0118179
9.00,0.0118009
9.02,0.0117841
9.04,0.0117674
9.06,0.0117507
9.08,0.0117342
9.10,0.0117177
9.12,0.0117013
9.14,0.0116849
9.16,0.0116687
9.18,0.0116525
9.20,0.0116365
9.22,0.0116205
9.24,0.0116046
9.26,0.0115887
9.28,0.0115729
9.30,0.0115572
9.32,0.0115417
9.34,0.011526
9.36,0.0115106
9.38,0.0114952
9.40,0.0114798
9.42,0.0114647
9.44,0.0114494
9.46,0.0114343
9.48,0.0114192
9.50,0.0114043
9.52,0.0113893
9.54,0.0113746
9.56,0.0113598
9.58,0.0113451
9.60,0.0113305
9.62,0.011316
9.64,0.0113015
9.66,0.011287
9.68,0.0112727
9.70,0.0112584
9.72,0.0112442
9.74,0.01123
9.76,0.0112159
9.78,0.0112019
9.80,0.0111879
9.82,0.0111741
9.84,0.0111602
9.86,0.0111463
9.88,0.0111326
9.90,0.011119
9.92,0.0111054
9.94,0.0110918
9.96,0.0110783
9.98,0.0110648
10.00,0.0110516
