step	1/(id0*rout)
     1	0.204746
     2	0.186518
     3	0.169082
     4	0.154255
     5	0.141903
     6	0.131588
     7	0.122899
     8	0.1155
     9	0.109135
    10	0.103603
    11	0.0987533
    12	0.0944654
    13	0.0906461
    14	0.0872212
    15	0.0841311
    16	0.0813277
    17	0.0787711
    18	0.076429
    19	0.0742743
    20	0.0722841
    21	0.0704393
    22	0.0687235
    23	0.0671227
    24	0.0656252
    25	0.0642202
    26	0.0628989
    27	0.0616534
    28	0.0604767
    29	0.0593627
    30	0.0583061
    31	0.0573021
    32	0.0563463
    33	0.0554351
    34	0.0545649
    35	0.0537329
    36	0.052936
    37	0.052172
    38	0.0514383
    39	0.0507332
    40	0.0500546
    41	0.0494009
    42	0.0487704
    43	0.0481618
    44	0.0475738
    45	0.0470051
    46	0.0464548
    47	0.0459216
    48	0.0454046
    49	0.044903
    50	0.044416
    51	0.0439427
    52	0.0434827
    53	0.0430351
    54	0.0425993
    55	0.0421748
    56	0.0417611
    57	0.0413576
    58	0.0409639
    59	0.0405796
    60	0.0402043
    61	0.0398374
    62	0.0394788
    63	0.039128
    64	0.0387848
    65	0.0384488
    66	0.0381199
    67	0.0377974
    68	0.0374816
    69	0.0371719
    70	0.0368682
    71	0.0365701
    72	0.0362776
    73	0.0359905
    74	0.0357086
    75	0.0354315
    76	0.0351594
    77	0.0348918
    78	0.0346288
    79	0.0343701
    80	0.0341156
    81	0.0338652
    82	0.0336189
    83	0.0333763
    84	0.0331376
    85	0.0329023
    86	0.0326706
    87	0.0324424
    88	0.0322173
    89	0.0319957
    90	0.0317772
    91	0.0315615
    92	0.031349
    93	0.0311393
    94	0.0309325
    95	0.0307284
    96	0.0305269
    97	0.0303281
    98	0.0301319
    99	0.029938
   100	0.0297467
   101	0.0295577
   102	0.029371
   103	0.0291866
   104	0.0290043
   105	0.0288243
   106	0.0286463
   107	0.0284704
   108	0.0282964
   109	0.0281245
   110	0.0279546
   111	0.0277864
   112	0.0276202
   113	0.0274558
   114	0.0272932
   115	0.0271324
   116	0.0269731
   117	0.0268155
   118	0.0266596
   119	0.0265053
   120	0.0263527
   121	0.0262016
   122	0.0260519
   123	0.0259039
   124	0.0257571
   125	0.0256119
   126	0.0254681
   127	0.0253257
   128	0.0251846
   129	0.0250449
   130	0.0249065
   131	0.0247696
   132	0.0246337
   133	0.0244991
   134	0.0243658
   135	0.0242337
   136	0.0241027
   137	0.023973
   138	0.0238444
   139	0.023717
   140	0.0235906
   141	0.0234655
   142	0.0233413
   143	0.0232182
   144	0.0230962
   145	0.0229752
   146	0.0228554
   147	0.0227364
   148	0.0226185
   149	0.0225016
   150	0.0223855
   151	0.0222705
   152	0.0221565
   153	0.0220433
   154	0.021931
   155	0.0218196
   156	0.0217092
   157	0.0215997
   158	0.021491
   159	0.021383
   160	0.0212762
   161	0.02117
   162	0.0210647
   163	0.0209601
   164	0.0208564
   165	0.0207535
   166	0.0206514
   167	0.02055
   168	0.0204494
   169	0.0203494
   170	0.0202504
   171	0.020152
   172	0.0200544
   173	0.0199575
   174	0.0198612
   175	0.0197658
   176	0.019671
   177	0.0195768
   178	0.0194834
   179	0.0193906
   180	0.0192986
   181	0.0192071
   182	0.0191163
   183	0.0190262
   184	0.0189367
   185	0.0188477
   186	0.0187596
   187	0.0186719
   188	0.0185849
   189	0.0184984
   190	0.0184126
   191	0.0183273
   192	0.0182427
   193	0.0181586
   194	0.0180752
   195	0.0179922
   196	0.0179098
   197	0.017828
   198	0.0177467
   199	0.0176659
   200	0.0175858
   201	0.0175061
   202	0.017427
   203	0.0173484
   204	0.0172704
   205	0.0171928
   206	0.0171157
   207	0.017039
   208	0.0169631
   209	0.0168876
   210	0.0168124
   211	0.0167378
   212	0.0166637
   213	0.0165901
   214	0.016517
   215	0.0164441
   216	0.016372
   217	0.0163003
   218	0.0162289
   219	0.0161581
   220	0.0160877
   221	0.0160176
   222	0.015948
   223	0.015879
   224	0.0158103
   225	0.0157421
   226	0.0156742
   227	0.0156069
